iter	Passed	Remaining
0	4	4978
1	8	4146
2	11	3751
3	14	3657
4	18	3599
5	22	3678
6	25	3616
7	28	3522
8	31	3444
9	34	3443
10	38	3421
11	41	3386
12	44	3356
13	47	3339
14	51	3358
15	54	3346
16	57	3312
17	60	3288
18	63	3267
19	67	3299
20	71	3322
21	74	3306
22	77	3289
23	79	3248
24	84	3278
25	87	3268
26	90	3258
27	93	3245
28	96	3238
29	100	3261
30	103	3243
31	107	3253
32	110	3232
33	113	3220
34	117	3238
35	120	3237
36	123	3226
37	126	3213
38	130	3213
39	135	3241
40	138	3245
41	141	3238
42	145	3231
43	149	3245
44	152	3234
45	155	3226
46	159	3225
47	162	3225
48	168	3265
49	171	3266
50	175	3265
51	179	3273
52	184	3300
53	190	3332
54	194	3334
55	198	3346
56	201	3338
57	205	3329
58	208	3325
59	213	3352
60	219	3371
61	223	3375
62	227	3385
63	232	3397
64	238	3424
65	243	3438
66	247	3445
67	251	3450
68	256	3459
69	262	3486
70	266	3482
71	269	3469
72	272	3457
73	276	3465
74	280	3454
75	283	3446
76	286	3439
77	290	3431
78	294	3436
79	298	3434
80	302	3427
81	305	3418
82	311	3442
83	315	3438
84	318	3427
85	321	3418
86	326	3422
87	329	3411
88	332	3399
89	335	3387
90	338	3382
91	342	3380
92	345	3366
93	348	3355
94	351	3345
95	355	3346
96	358	3340
97	361	3328
98	364	3315
99	367	3305
100	371	3303
101	374	3297
102	377	3286
103	380	3275
104	383	3272
105	388	3279
106	392	3277
107	395	3269
108	399	3262
109	402	3254
110	406	3257
111	409	3250
112	413	3242
113	415	3232
114	420	3236
115	424	3232
116	427	3227
117	430	3218
118	433	3209
119	437	3210
120	440	3200
121	443	3193
122	446	3184
123	449	3176
124	454	3180
125	457	3175
126	460	3167
127	463	3158
128	466	3150
129	470	3151
130	474	3149
131	478	3143
132	481	3136
133	485	3138
134	488	3131
135	491	3123
136	494	3115
137	497	3108
138	502	3109
139	505	3105
140	508	3099
141	511	3090
142	514	3083
143	518	3083
144	521	3075
145	524	3068
146	527	3060
147	530	3053
148	534	3055
149	537	3047
150	540	3039
151	543	3032
152	546	3024
153	551	3029
154	555	3028
155	558	3022
156	561	3016
157	566	3019
158	569	3014
159	573	3008
160	576	3001
161	579	2995
162	583	2996
163	586	2988
164	589	2981
165	592	2975
166	595	2969
167	600	2973
168	604	2970
169	607	2963
170	610	2957
171	614	2958
172	617	2951
173	620	2945
174	624	2942
175	627	2937
176	631	2938
177	634	2931
178	637	2924
179	640	2917
180	643	2912
181	647	2910
182	650	2904
183	653	2898
184	656	2891
185	659	2886
186	663	2886
187	666	2880
188	670	2876
189	673	2870
190	676	2863
191	680	2864
192	684	2861
193	687	2856
194	690	2851
195	695	2851
196	698	2845
197	701	2841
198	704	2836
199	708	2832
200	712	2832
201	715	2827
202	719	2823
203	721	2816
204	724	2810
205	729	2809
206	732	2806
207	735	2801
208	738	2795
209	742	2793
210	745	2789
211	749	2786
212	752	2780
213	755	2774
214	760	2778
215	764	2775
216	767	2770
217	770	2765
218	775	2765
219	778	2760
220	781	2755
221	784	2749
222	787	2745
223	792	2745
224	795	2740
225	798	2734
226	801	2728
227	804	2724
228	809	2726
229	813	2723
230	816	2717
231	819	2712
232	823	2711
233	826	2706
234	829	2701
235	832	2695
236	835	2690
237	840	2690
238	843	2685
239	846	2680
240	849	2676
241	852	2670
242	856	2668
243	859	2663
244	862	2657
245	866	2654
246	869	2649
247	873	2647
248	876	2642
249	879	2637
250	882	2631
251	885	2627
252	889	2626
253	893	2622
254	896	2620
255	899	2614
256	904	2614
257	907	2609
258	910	2604
259	913	2601
260	916	2596
261	921	2596
262	924	2591
263	927	2585
264	930	2580
265	933	2577
266	938	2576
267	941	2572
268	944	2567
269	948	2563
270	952	2563
271	955	2558
272	958	2552
273	961	2547
274	964	2543
275	968	2541
276	971	2536
277	974	2530
278	977	2525
279	980	2521
280	984	2518
281	987	2513
282	990	2508
283	993	2504
284	996	2500
285	1001	2499
286	1004	2495
287	1007	2490
288	1010	2486
289	1013	2480
290	1018	2480
291	1022	2478
292	1025	2474
293	1028	2470
294	1033	2469
295	1036	2465
296	1039	2461
297	1043	2457
298	1048	2457
299	1053	2457
300	1057	2455
301	1060	2452
302	1065	2451
303	1068	2447
304	1072	2444
305	1076	2440
306	1081	2440
307	1086	2441
308	1090	2439
309	1094	2436
310	1099	2435
311	1103	2434
312	1108	2431
313	1111	2428
314	1116	2428
315	1119	2424
316	1123	2420
317	1126	2416
318	1132	2416
319	1137	2416
320	1140	2412
321	1144	2409
322	1148	2407
323	1151	2403
324	1155	2398
325	1158	2394
326	1162	2392
327	1165	2388
328	1168	2383
329	1171	2378
330	1175	2374
331	1179	2373
332	1183	2369
333	1186	2365
334	1189	2361
335	1194	2361
336	1197	2356
337	1200	2351
338	1204	2347
339	1207	2343
340	1211	2341
341	1214	2336
342	1217	2331
343	1220	2327
344	1223	2323
345	1228	2321
346	1231	2317
347	1234	2313
348	1237	2308
349	1242	2307
350	1244	2301
351	1248	2298
352	1251	2293
353	1254	2289
354	1260	2290
355	1264	2287
356	1267	2283
357	1270	2279
358	1275	2277
359	1279	2274
360	1282	2269
361	1285	2264
362	1289	2263
363	1292	2258
364	1295	2254
365	1299	2250
366	1302	2245
367	1307	2244
368	1310	2241
369	1314	2238
370	1317	2234
371	1322	2233
372	1326	2229
373	1328	2224
374	1331	2219
375	1334	2215
376	1339	2213
377	1342	2209
378	1345	2204
379	1348	2200
380	1352	2196
381	1356	2195
382	1360	2191
383	1363	2187
384	1366	2183
385	1371	2182
386	1374	2177
387	1378	2173
388	1381	2169
389	1386	2169
390	1390	2165
391	1393	2161
392	1396	2156
393	1399	2152
394	1404	2150
395	1407	2146
396	1410	2142
397	1413	2138
398	1418	2136
399	1422	2133
400	1425	2129
401	1429	2126
402	1434	2125
403	1439	2123
404	1443	2120
405	1446	2116
406	1451	2114
407	1454	2110
408	1457	2106
409	1461	2103
410	1466	2101
411	1471	2099
412	1475	2097
413	1478	2093
414	1483	2091
415	1488	2090
416	1492	2086
417	1495	2082
418	1501	2081
419	1504	2077
420	1508	2074
421	1513	2073
422	1519	2072
423	1522	2068
424	1526	2064
425	1530	2062
426	1533	2058
427	1536	2054
428	1539	2049
429	1542	2045
430	1547	2043
431	1550	2039
432	1553	2034
433	1556	2030
434	1560	2026
435	1564	2023
436	1567	2019
437	1570	2014
438	1573	2010
439	1576	2006
440	1579	2002
441	1582	1998
442	1585	1993
443	1589	1989
444	1591	1985
445	1595	1982
446	1598	1977
447	1601	1973
448	1604	1969
449	1608	1965
450	1611	1962
451	1615	1958
452	1618	1954
453	1621	1950
454	1625	1946
455	1628	1942
456	1631	1938
457	1634	1934
458	1637	1930
459	1640	1926
460	1644	1922
461	1647	1918
462	1650	1913
463	1653	1909
464	1656	1905
465	1659	1901
466	1662	1897
467	1666	1894
468	1669	1890
469	1672	1886
470	1676	1883
471	1680	1879
472	1683	1875
473	1686	1871
474	1690	1867
475	1694	1865
476	1698	1861
477	1701	1858
478	1704	1854
479	1708	1851
480	1711	1846
481	1714	1843
482	1718	1838
483	1721	1834
484	1726	1832
485	1729	1829
486	1733	1826
487	1736	1822
488	1740	1819
489	1744	1815
490	1748	1812
491	1751	1807
492	1754	1804
493	1759	1802
494	1763	1798
495	1766	1794
496	1769	1790
497	1774	1788
498	1777	1784
499	1781	1781
500	1784	1777
501	1788	1774
502	1791	1770
503	1794	1766
504	1797	1762
505	1800	1758
506	1805	1755
507	1808	1751
508	1811	1747
509	1814	1742
510	1816	1738
511	1820	1735
512	1824	1732
513	1827	1728
514	1830	1724
515	1833	1720
516	1837	1716
517	1840	1712
518	1843	1708
519	1846	1704
520	1849	1700
521	1852	1696
522	1856	1693
523	1859	1689
524	1862	1685
525	1866	1681
526	1870	1678
527	1873	1674
528	1876	1670
529	1879	1666
530	1881	1662
531	1886	1659
532	1891	1657
533	1896	1654
534	1899	1651
535	1902	1647
536	1906	1643
537	1909	1639
538	1911	1635
539	1915	1631
540	1918	1627
541	1921	1623
542	1924	1619
543	1927	1615
544	1930	1612
545	1934	1608
546	1937	1604
547	1940	1600
548	1943	1596
549	1947	1593
550	1951	1589
551	1955	1586
552	1958	1582
553	1961	1578
554	1965	1575
555	1967	1571
556	1970	1567
557	1974	1563
558	1976	1559
559	1982	1557
560	1985	1553
561	1988	1549
562	1991	1545
563	1994	1541
564	1997	1538
565	2001	1534
566	2004	1530
567	2007	1526
568	2010	1523
569	2014	1519
570	2017	1516
571	2021	1512
572	2024	1508
573	2027	1504
574	2031	1501
575	2035	1498
576	2039	1494
577	2042	1491
578	2046	1488
579	2049	1484
580	2052	1480
581	2056	1476
582	2059	1472
583	2064	1470
584	2067	1466
585	2071	1463
586	2074	1459
587	2078	1456
588	2082	1452
589	2085	1449
590	2088	1445
591	2091	1441
592	2096	1438
593	2099	1434
594	2102	1430
595	2105	1426
596	2109	1424
597	2113	1420
598	2116	1417
599	2119	1413
600	2123	1409
601	2127	1406
602	2130	1402
603	2133	1398
604	2136	1395
605	2140	1391
